,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
8622007097_R02C02,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002932551319648094,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1288135593220339,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015625,0.0,0.0,0.8597402597402597,0.0,0.0,0.0,0.0
9829119119_R03C02,0.0,0.0,-0.7923076923076923,0.0,1.0,-0.9930475086906141,-0.7814726840855107,0.0,-0.05680473372781065,0.0,0.0,0.0,0.014213197969543147,0.0,0.0,0.04838709677419355,0.0,0.10943695479777954,0.0,0.625,0.0,0.0,0.0,-0.12234042553191489,0.0,0.05174234424498416,0.0,0.0,0.0,0.0631911532385466,-1.0,-0.3552479815455594,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,-0.24632352941176472,0.0
3999547092_R06C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6710369487485102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7906523855890945,0.0,0.0,0.0,0.0,0.0,0.0,0.01950354609929078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9883495145631068,-0.2994791666666667,0.0,0.0,0.0,-0.5220588235294118,0.0
3999875056_R04C01,0.9315068493150684,0.0,-1.0,-0.043523316062176166,0.9940828402366864,0.0,0.0,0.0,-0.05680473372781065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.4026258205689278,0.0,-0.13898305084745763,0.0,0.0,0.0,0.1001669449081803,0.0,0.0,0.0,0.0,0.0,-0.009943181818181818,-0.8116504854368932,0.0,-0.007792207792207792,0.0,0.0,-0.6691176470588235,0.0
9020331028_R06C01,0.9497716894977168,-0.24587912087912087,-1.0,-0.021761658031088083,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007765314926660914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.014204545454545454,-0.9883495145631068,0.0,0.005194805194805195,0.0,0.0,0.0,0.0
9855358056_R04C02,0.0,0.0,0.0,0.0,1.0,-0.7995365005793743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16193656093489148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9878820156_R06C01,0.0,0.0,-1.0,0.0,-0.008875739644970414,-0.002317497103128621,-0.040380047505938245,0.0,-0.9609467455621302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01725625539257981,0.0,0.0,0.0,-0.0711864406779661,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013592233009708738,-0.03125,-0.01038961038961039,0.0,0.0,0.0,0.0
10003886253_R06C02,0.0,0.0,-0.5884615384615385,0.13678756476683937,0.0,0.6002317497103129,-0.7458432304038005,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11906816220880069,0.0,0.0,0.0,0.0,-0.28900709219858156,0.0,-0.1457233368532207,0.0,-0.14390602055800295,0.0,-0.07740916271721959,0.0,0.0,-0.009943181818181818,0.0,-0.0234375,-0.01818181818181818,0.0,0.7304015296367112,0.0,0.0
9878820113_R03C02,0.0,0.0,-0.007692307692307693,-0.05181347150259067,0.0,0.0,0.0,-0.6603098927294399,0.0,0.0,0.0,0.0,0.0,-1.0,-0.00392156862745098,-0.002932551319648094,-1.0,0.0,0.0,-0.38392857142857145,-0.024070021881838075,0.0,0.0,0.0,0.0,-0.1446673706441394,-0.4724540901502504,-0.030837004405286344,0.0,0.0,0.0,0.0,-0.009943181818181818,-0.40388349514563104,-0.09895833333333333,-0.006493506493506494,0.0,0.9101338432122371,-0.9889705882352942,0.0
9878820066_R05C02,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03959390862944162,0.0,0.0,-1.0,-1.0,0.0,-0.08369283865401209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0481283422459893,-0.07381776239907728,0.0,0.0,0.0,-0.006493506493506494,0.0,0.0,0.0,0.0
9855358018_R06C01,0.0,0.0,0.0,-0.04559585492227979,0.0,0.0,-1.0,1.0,0.0,0.0,0.004705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14667817083692838,0.0,0.0,0.0,0.0,0.0,0.0,-0.0454065469904963,-0.025041736227045076,-0.023494860499265784,-0.09454545454545454,-1.0,-0.053475935828877004,-0.07381776239907728,0.0,0.0,-0.0859375,0.8,0.0,0.6328871892925431,0.0,0.0
9855358023_R04C01,0.0,0.0,0.0,0.0,0.10946745562130178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013805004314063849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.8116883116883117,0.0,0.0,0.0,0.0
