,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
glioma_mskcc_2019_449,-1.0,-1.0,-0.6038461538461538,0.0,-0.07692307692307693,-1.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38392857142857145,0.9168490153172867,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.2276064610866373,0.0,0.0,0.0,0.0,-0.3849431818181818,0.0,0.028645833333333332,0.17662337662337663,0.0,0.0,-1.0,0.8136300417246175
glioma_mskcc_2019_599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.38269794721407624,-1.0,-1.0,0.363244176013805,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2020033388981636,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093841642228739,-1.0,-0.9968279143536876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_116,-1.0,-1.0,0.0,0.0,-0.8994082840236687,0.0,-0.5866983372921615,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241480038948394,-0.1625693893735131,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8116504854368932,1.0,1.0,0.0,-0.7265774378585086,-1.0,-0.5187760778859527
glioma_mskcc_2019_21,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.02030456852791878,0.0,0.0,1.0,1.0,0.08723235527359238,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9309090909090909,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-0.032504780114722756,-0.20955882352941177,0.0
glioma_mskcc_2019_618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3110846245530393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093841642228739,-1.0,-0.9968279143536876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_391,-1.0,-1.0,0.0,-0.035233160621761656,-1.0,-1.0,-1.0,0.0,-0.6946745562130178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007930214115781126,0.0,0.08482142857142858,0.0,0.0,0.0,-1.0,0.0,-0.0010559662090813093,0.0,0.0,0.0,0.0,0.0,0.03806228373702422,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_204,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6377799415774099,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.13090909090909092,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.33088235294117646,0.0
glioma_mskcc_2019_244,-1.0,-1.0,-1.0,-1.0,0.0,0.01738122827346466,-0.14014251781472684,0.0,0.001183431952662722,1.0,1.0,0.044009779951100246,-0.5888324873096447,0.0,0.0,1.0,1.0,0.0,0.021570319240724764,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,-0.035058430717863104,0.0,0.0,0.0,0.0,0.0,-0.3849431818181818,0.0,1.0,1.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_327,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.10513447432762836,1.0,1.0,1.0,0.26392961876832843,1.0,0.44329896907216493,1.0,1.0,1.0,1.0,1.0,-0.8475177304964538,0.13194444444444445,0.0,1.0,1.0,0.025454545454545455,0.030015797788309637,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.6838235294117647,1.0
glioma_mskcc_2019_615,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8123167155425219,-1.0,-0.9968279143536876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03806228373702422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
